% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2021
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2021 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2021, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
199809	 -0.27408101	 -0.25694219	  0.04377373	
199810	 -0.04391960	  0.05778276	  0.02423320	
199811	  0.04820277	  0.11904943	  0.01156041	
199812	 -0.14833407	 -0.10756148	  0.02902354	
199901	  0.06342531	  0.06551462	  0.05038095	
199902	 -0.08654181	 -0.06267337	  0.02041706	
199903	 -0.06150471	 -0.00709503	 -0.00365112	
199904	  0.19802355	  0.27888464	  0.08832930	
199905	 -0.13408331	 -0.13937357	 -0.00711144	
199906	  0.05855012	  0.05936808	  0.04311320	
199907	  0.06703473	  0.05478261	 -0.01594110	
199908	  0.05135435	 -0.01616685	 -0.00453102	
199909	 -0.04828547	 -0.07723604	 -0.03085289	
199910	  0.09828173	  0.08210097	  0.08997094	
199911	 -0.00169317	 -0.03959076	 -0.01713025	
199912	 -0.07442397	 -0.08469076	  0.04463737	
200001	 -0.06743720	 -0.04526657	  0.01080649	
200002	 -0.04172311	 -0.01317382	  0.00821657	
200003	 -0.00618156	  0.11016094	 -0.00107706	
200004	 -0.22530357	 -0.21750673	 -0.04361215	
200005	  0.06595434	  0.08266250	 -0.02551143	
200006	 -0.18106617	 -0.15603384	 -0.03406082	
200007	  0.05562614	 -0.06177255	  0.11108086	
200008	 -0.07174736	  0.01794037	 -0.00863057	
200009	 -0.16872981	 -0.15467783	 -0.03874534	
200010	 -0.13664786	 -0.00331181	  0.02325654	
200011	 -0.14439405	 -0.12750407	 -0.03634790	
200012	  0.09559686	  0.06742064	  0.01147489	
200101	 -0.14739081	 -0.05310147	  0.07102377	
200102	 -0.05684650	 -0.06359485	  0.03952130	
200103	 -0.06035493	  0.02601284	  0.07061035	
200104	 -0.06215272	  0.10842102	  0.00692612	
200105	  0.10054836	  0.11399157	  0.03163566	
200106	  0.01593630	  0.08322740	  0.00367084	
200107	 -0.04836669	 -0.00239841	  0.03626470	
200108	 -0.05230665	  0.05734795	  0.04917917	
200109	 -0.04060099	 -0.12494994	 -0.10046824	
200110	  0.06991310	  0.09901687	  0.03490791	
200111	  0.02057022	 -0.00909646	  0.03276847	
200112	  0.01329669	  0.05159900	  0.06856494	
